Feature Label,Description,Categories,Aspect of house,Data Type
Id,Unique ID,None,Unrelated,None
PID,Parcel Identification Number assigned to each property within the Ames,None,Unrelaed,None
MS SubClass,The building class,20: 1-STORY 1946 & NEWER ALL STYLES / 30: 1-STORY 1945 & OLDER / 40: 1-STORY W/FINISHED ATTIC ALL AGES / 45: 1-1/2 STORY - UNFINISHED ALL AGES / 50: 1-1/2 STORY FINISHED ALL AGES / 60: 2-STORY 1946 & NEWER / 70: 2-STORY 1945 & OLDER / 75: 2-1/2 STORY ALL AGES / 80: SPLIT OR MULTI-LEVEL / 85: SPLIT FOYER / 90: DUPLEX - ALL STYLES AND AGES / 120: 1-STORY PUD (Planned Unit Development) - 1946 & NEWER / 150: 1-1/2 STORY PUD - ALL AGES / 160: 2-STORY PUD - 1946 & NEWER / 180: PUD - MULTILEVEL - INCL SPLIT LEV/FOYER / 190: 2 FAMILY CONVERSION - ALL STYLES AND AGES,Type,Nominal 
MS Zoning,Identifies the general zoning classification of the sale,A: Agriculture / C: Commercial / FV: Floating Village Residential / I: Industrial / RH: Residential High Density / RL: Residential Low Density / RP: Residential Low Density Park / RM: Residential Medium Density,Administrative,Nominal 
Lot Frontage,Linear feet of street connected to property,None,Environment,Numeric
Lot Area,Lot size in square feet,None,Land,Numeric
Street,Type of road access to property,Grvl: Gravel / Pave: Paved,Environment,Nominal 
Alley,Type of alley access to property,Grvl: Gravel / Pave: Paved / NA: No alley access,Environment,Nominal 
Lot Shape,General shape of property,Reg: Regular / IR1: Slightly irregular / IR2: Moderately Irregular / IR3: Irregular,Land,Nominal 
Land Contour,Flatness of the property,Lvl: Near Flat/Level / Bnk: Banked - Quick and significant rise from street grade to building / HLS: Hillside - Significant slope from side to side / Low Depression,Land,Nominal 
Utilities,Type of utilities available,"AllPub: All public Utilities (E,G,W,& S) / NoSewr: Electricity, Gas, and Water (Septic Tank) / NoSeWa: Electricity and Gas Only / ELO: Electricity only",Utility,Nominal 
Lot Config,Lot configuration,Inside: Inside lot / Corner: Corner lot / CulDSac: Cul-de-sac / FR2: Frontage on 2 sides of property / FR3: Frontage on 3 sides of property,Environment,Nominal 
Land Slope,Slope of property,Gtl: Gentle slope / Mod: Moderate Slope / Sev: Severe Slope,Land,Nominal 
Neighborhood,Physical locations within Ames city limit,Value represents unique neighbourhoods in Ames,Environment,Nominal 
Condition 1,Proximity to main road or railroad,"Artery: Adjacent to arterial street / Feedr: Adjacent to feeder street / Norm: Normal / RRNn: Within 200' of North-South Railroad / RRAn: Adjacent to North-South Railroad / PosN: Near positive off-site feature--park, greenbelt, etc. / PosA: Adjacent to postive off-site feature / RRNe: Within 200' of East-West Railroad / RRAe: Adjacent to East-West Railroad",Environment,Nominal 
Condition 2,Proximity to main road or railroad (if a second is present),Same as Condition 1,Environment,Nominal 
Bldg Type,Type of dwelling,1Fam: Single-family Detached / 2FmCon: Two-family Conversion; originally built as one-family dwelling / Duplx: Duplex / TwnhsE: Townhouse End Unit / TwnhsI: Townhouse Inside Unit,Type,Nominal 
House Style,Style of dwelling,1Story: One story / 1.5Fin: One and one-half story: 2nd level finished / 1.5Unf: One and one-half story: 2nd level unfinished / 2Story: Two story / 2.5Fin: Two and one-half story: 2nd level finished / 2.5Unf: Two and one-half story: 2nd level unfinished / SFoyer: Split Foyer / SLvl: Split Level,Overall,Nominal 
Overall Qual,Overall material and finish quality,10 Very Excellent / 9 Excellent / 8 Very Good / 7 Good / 6 Above Average / 5 Average / 4 Below Average / 3 Fair / 2 Poor / 1 Very Poor,Overall,Ordinal
Overall Cond,Overall condition rating,Same as Overall Qual,Overall,Ordinal
Year Built,Original construction date,None,Age,Numeric
Year Remod/Add,Remodel date (same as construction date if no remodeling or additions),None,Age,Numeric
Roof Style,Type of roof,Flat: Flat / Gable: Gable / Gambrel: Gabrel (Barn) / Hip: Hip / Mansard: Mansard / Shed: Shed,Roof,Nominal 
Roof Matl,Roof material,ClyTile: Clay or Tile / CompShg: Standard (Composite) Shingle / Membran: Membrane / Metal: Metal / Roll: Roll / Tar&Grv: Gravel & Tar / WdShake: Wood Shakes / WdShngl: Wood Shingles,Roof,Nominal 
